Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
2,3.0,6,5,0,9.2,6.4,7.9,36,213
2,3.0,6,5,4,11.9,8.0,10.1,28,232
1,3.0,6,5,4,12.5,8.6,10.7,26,246
2,4.4,8,5,4,14.4,9.6,12.2,23,281
1,4.4,8,5,4,15.0,9.8,12.7,22,292
0,3.0,6,5,4,11.9,8.0,10.1,28,232
10,4.4,8,5,4,15.0,9.8,12.7,22,292
0,4.4,8,5,4,14.4,9.6,12.2,23,281
0,4.4,8,5,4,15.0,9.8,12.7,22,292
1,6.0,12,5,4,18.7,11.5,15.5,18,356
0,3.0,6,5,4,9.2,7.1,8.3,34,191
2,3.0,6,5,4,10.5,7.9,9.3,30,214
1,3.0,6,5,4,10.5,7.6,9.2,31,212
2,4.4,8,9,4,17.3,11.5,14.7,19,338
2,4.4,8,25,4,16.2,10.9,13.8,20,317
0,4.4,8,9,4,17.3,11.5,14.7,19,338
0,4.4,8,25,4,16.2,10.9,13.8,20,317
10,4.4,8,9,4,17.3,11.5,14.7,19,338
10,4.4,8,25,4,16.2,10.9,13.8,20,317
11,2.0,4,5,4,10.6,7.2,9.1,31,209
11,3.0,6,3,4,13.2,8.9,11.3,25,260
11,2.0,4,5,4,11.2,8.5,10.0,28,230
11,3.0,6,5,4,12.6,9.1,11.0,26,253
12,3.0,6,5,4,12.9,8.8,11.1,25,255
12,4.4,8,5,4,16.3,10.9,13.9,20,320
12,4.4,8,3,4,18.1,13.7,16.1,18,370
12,3.0,6,5,4,13.6,9.8,11.9,24,274
12,4.4,8,5,4,16.4,11.3,14.1,20,324
13,2.0,4,5,4,10.8,7.1,9.1,31,209
13,2.0,4,25,4,10.4,6.7,8.7,32,200
13,3.0,6,9,4,13.7,10.1,12.1,23,278
13,3.0,6,25,4,12.7,9.0,11.0,26,253
12,3.6,6,3,3,14.3,9.9,12.3,23,283
12,3.6,6,3,3,14.6,10.2,12.6,22,290
11,1.4,4,15,3,9.5,7.2,8.5,33,196
11,1.4,4,15,3,10.2,8.0,9.2,31,212
2,3.6,6,15,3,13.7,8.7,11.5,25,264
2,3.6,6,15,1,18.4,12.2,15.6,18,250
2,3.6,6,15,3,13.7,8.9,11.5,25,264
2,3.6,6,15,1,19.4,13.0,16.5,17,264
2,2.4,4,15,3,9.6,6.5,8.2,34,189
2,2.0,4,15,4,11.5,7.9,9.9,29,228
2,2.0,4,25,4,11.6,7.5,9.8,29,225
2,2.0,4,15,4,12.3,8.7,10.7,26,246
0,2.0,4,15,4,11.5,7.9,9.9,29,228
0,2.0,4,25,4,11.6,7.5,9.8,29,225
0,2.4,4,15,3,11.3,7.4,9.5,30,218
0,2.0,4,15,4,11.3,7.5,9.6,29,221
0,2.0,4,25,4,12.1,7.9,10.2,28,235
0,2.5,4,15,3,10.5,7.2,9.0,31,207
0,3.6,6,15,3,12.8,8.5,10.9,26,251
0,2.0,4,15,4,11.8,8.1,10.1,28,232
0,3.6,6,15,3,13.1,9.0,11.3,25,260
2,3.6,6,15,3,13.2,8.7,11.2,25,258
2,3.6,6,15,3,13.3,9.0,11.4,25,262
2,2.0,4,15,4,11.9,7.9,10.1,28,232
2,3.6,6,17,3,12.9,8.2,10.8,26,248
2,2.0,4,15,4,12.6,8.5,10.8,26,248
2,3.6,6,15,3,13.1,9.0,11.3,25,260
2,3.6,6,17,4,15.1,9.9,12.8,22,294
9,3.0,6,15,3,12.7,8.9,11.0,26,253
9,3.6,6,15,3,13.3,8.9,11.3,25,260
9,3.0,6,15,3,12.8,9.1,11.1,25,255
9,3.6,6,15,3,13.3,9.0,11.4,25,262
2,6.2,8,15,4,19.7,12.9,16.6,17,382
2,6.2,8,25,4,16.7,12.5,14.8,19,340
9,6.2,8,15,4,19.7,12.9,16.6,17,382
9,6.2,8,25,4,16.7,12.5,14.8,19,340
12,6.2,8,3,4,17.0,11.8,14.7,19,338
12,6.2,8,3,1,23.3,16.1,20.1,14,322
12,6.2,8,3,4,18.8,13.4,16.4,17,377
12,6.2,8,3,1,25.7,17.8,22.1,13,354
12,3.6,6,15,3,14.3,9.8,12.3,23,283
12,3.6,6,15,3,14.8,10.4,12.8,22,294
1,3.6,6,15,3,13.6,8.6,11.4,25,262
1,3.6,6,15,3,14.0,9.1,11.8,24,271
1,3.6,6,15,4,14.8,9.8,12.6,22,290
0,3.6,6,15,3,13.2,8.7,11.2,25,258
0,3.6,6,25,3,14.2,8.6,11.7,24,269
0,3.6,6,15,3,12.7,7.9,10.5,27,242
0,6.2,8,15,4,15.3,9.8,12.8,22,294
0,6.2,8,25,4,15.0,9.9,12.7,22,292
0,6.2,8,15,4,19.7,12.9,16.6,17,382
0,6.2,8,25,4,16.7,12.5,14.8,19,340
13,6.2,8,15,4,14.9,8.5,12.0,24,276
13,6.2,8,26,4,13.7,8.2,11.2,25,258
2,1.4,4,15,3,9.1,6.3,7.8,36,179
2,1.4,4,25,3,9.1,6.3,7.8,36,179
2,1.8,4,15,3,10.5,6.7,8.8,32,202
2,1.8,4,25,3,9.5,6.5,8.2,34,189
2,2.0,4,15,0,8.7,5.1,7.1,40,192
2,1.4,4,3,3,9.1,6.0,7.7,37,177
2,1.4,4,25,3,8.4,5.6,7.1,40,163
11,2.4,4,3,3,10.5,7.3,9.1,31,209
11,3.6,6,3,3,13.9,9.6,12.0,24,276
11,3.6,6,3,1,18.8,13.1,16.2,17,259
11,2.4,4,3,3,11.5,8.2,10.0,28,230
11,3.6,6,3,3,14.8,9.9,12.6,22,290
11,3.6,6,3,1,19.8,13.6,17.0,17,272
14,4.3,6,1,3,17.1,12.7,15.1,19,347
14,5.3,8,1,3,18.0,13.4,15.9,18,366
14,5.3,8,1,1,23.5,17.7,20.9,14,334
14,5.3,8,1,3,18.3,14.2,16.5,17,380
14,5.3,8,1,1,23.7,18.8,21.5,13,344
14,5.3,8,1,3,18.6,13.9,16.5,17,380
14,5.3,8,1,1,23.9,18.5,21.5,13,344
14,5.3,8,1,1,25.3,19.3,22.6,12,362
15,5.3,8,1,3,18.6,13.9,16.5,17,380
15,5.3,8,1,1,23.9,18.5,21.5,13,344
15,5.3,8,1,3,18.3,14.2,16.5,17,380
15,5.3,8,1,1,25.3,19.3,22.6,12,362
15,4.8,8,3,3,21.1,14.2,18.0,16,414
15,6.0,8,3,3,21.9,15.0,18.8,15,432
15,6.0,8,3,1,30.0,20.4,25.7,11,411
15,4.8,8,3,3,21.3,14.3,18.2,16,419
15,6.0,8,3,3,22.1,15.0,18.9,15,435
15,6.0,8,3,1,30.2,20.5,25.8,11,413
1,2.5,4,15,3,11.3,7.5,9.6,29,221
1,3.6,6,15,3,12.6,8.2,10.6,27,244
1,3.6,6,15,1,16.7,11.3,14.3,20,229
1,2.4,4,15,3,10.0,7.0,8.7,32,200
2,2.5,4,15,3,9.3,6.4,8.0,35,184
11,2.4,4,15,3,12.2,8.6,10.6,27,244
11,2.4,4,25,3,11.8,8.3,10.2,28,235
6,4.3,6,3,3,13.4,9.9,11.8,24,271
6,4.3,6,3,1,18.9,14.2,16.8,17,269
6,5.3,8,3,3,14.6,10.3,12.7,22,292
6,5.3,8,3,1,19.5,13.7,16.9,17,270
6,6.2,8,3,4,16.3,11.4,14.1,20,324
6,4.3,6,3,3,14.2,10.6,12.6,22,290
6,4.3,6,3,1,20.0,15.1,17.8,16,285
6,5.3,8,3,3,14.9,10.6,13.0,22,299
6,5.3,8,3,1,19.9,14.2,17.3,16,277
6,6.2,8,3,4,16.4,11.7,14.3,20,329
0,1.4,4,15,3,9.1,6.7,8.0,35,184
0,1.4,4,25,3,8.5,6.2,7.5,38,173
0,1.8,4,15,3,9.6,6.6,8.3,34,191
0,1.8,4,24,3,8.9,6.7,7.9,36,182
0,1.4,4,15,3,9.4,7.0,8.3,34,191
0,1.4,4,25,3,8.8,7.0,8.0,35,184
2,1.4,4,15,3,9.1,6.7,8.0,35,184
2,1.4,4,25,3,8.5,6.2,7.5,38,172
2,1.8,4,15,3,9.6,6.6,8.3,34,191
2,1.8,4,24,3,8.9,6.7,7.9,36,182
2,1.4,4,15,3,9.4,7.0,8.3,34,191
2,1.4,4,25,3,8.8,7.0,8.0,35,184
10,1.2,4,19,3,7.7,6.0,6.9,41,159
10,1.2,4,24,3,7.6,6.0,6.9,41,159
12,5.3,8,3,3,16.0,11.1,13.8,20,317
12,5.3,8,3,1,21.5,14.6,18.4,15,294
11,1.4,4,15,3,9.4,7.1,8.4,34,193
11,1.4,4,25,3,9.1,6.8,8.1,35,186
11,1.4,4,15,3,10.0,7.8,9.0,31,207
1,3.6,6,5,3,12.4,7.7,10.3,27,237
0,2.4,4,1,3,11.7,8.2,10.1,28,232
0,2.4,4,3,3,12.9,8.1,10.7,26,246
0,3.6,6,3,3,12.5,8.1,10.5,27,242
0,3.6,6,3,1,17.0,11.2,14.4,20,230
2,2.4,4,1,3,11.2,8.0,9.8,29,225
2,2.4,4,3,3,12.0,7.6,10.0,28,230
2,3.6,6,3,3,12.5,8.1,10.5,27,242
2,3.6,6,3,1,17.0,11.2,14.4,20,230
1,5.7,8,2,3,15.8,9.2,12.8,22,294
1,3.6,6,5,3,12.8,8.6,10.9,26,251
1,5.7,8,2,3,16.1,10.0,13.4,21,308
1,3.6,6,5,1,17.3,11.7,14.8,19,237
1,3.6,6,5,1,16.8,10.3,13.9,20,222
1,6.4,8,2,4,16.7,10.3,13.8,20,317
4,3.6,6,3,3,14.1,9.5,12.0,24,276
4,3.6,6,3,1,19.7,13.3,16.8,17,269
2,3.6,6,2,3,13.2,8.7,11.2,25,258
2,5.7,8,25,3,15.6,10.0,13.1,22,301
2,5.7,8,2,3,15.8,9.2,12.8,22,294
2,6.4,8,25,4,16.8,10.4,13.9,20,320
2,6.4,8,2,4,16.7,10.3,13.8,20,317
1,3.6,6,2,3,13.2,8.7,11.2,25,258
1,3.6,6,2,1,18.3,12.6,15.7,18,251
1,3.6,6,5,3,12.3,7.6,10.2,28,235
2,2.0,4,25,3,9.4,6.5,8.1,35,186
2,2.4,4,3,3,10.1,6.8,8.6,33,198
2,2.4,4,25,3,10.5,6.7,8.8,32,202
2,2.0,4,3,3,9.9,7.0,8.6,33,198
2,2.0,4,3,1,14.2,9.8,12.2,23,195
2,2.4,4,3,3,10.6,7.5,9.2,31,212
2,2.4,4,25,3,10.2,7.0,8.8,32,202
2,1.4,4,8,3,8.4,5.9,7.3,39,168
2,1.4,4,25,3,8.5,5.8,7.3,39,168
12,5.7,8,5,3,17.3,10.8,14.4,20,331
12,3.6,6,5,3,13.9,9.8,12.1,23,278
12,3.6,6,5,1,17.7,13.0,15.6,18,250
4,3.6,6,3,3,13.7,9.4,11.8,24,271
4,3.6,6,3,1,19.2,13.1,16.5,17,264
11,2.4,4,1,3,12.7,9.1,11.1,25,255
11,3.6,6,3,3,14.5,9.9,12.4,23,285
11,3.6,6,3,3,14.2,9.4,12.0,24,276
11,3.6,6,3,1,18.9,12.9,16.2,17,259
3,1.4,4,24,3,8.5,6.9,7.8,36,179
3,1.4,4,3,3,8.7,6.9,7.9,36,182
3,1.4,4,24,3,7.9,6.3,7.2,39,166
3,1.4,4,24,3,7.6,5.9,6.8,42,156
9,1.4,4,8,3,10.0,7.2,8.7,32,200
9,1.4,4,25,3,9.3,7.2,8.4,34,193
1,2.0,4,19,3,5.6,6.4,6.0,47,138
14,4.6,8,1,3,17.7,14.4,16.2,17,373
14,4.6,8,1,1,24.1,19.2,21.9,13,350
14,5.4,8,1,3,19.3,14.7,17.2,16,396
14,5.4,8,1,1,24.9,19.6,22.5,13,360
15,4.6,8,1,3,18.6,14.6,16.8,17,386
15,4.6,8,1,1,25.5,20.0,23.0,12,368
15,6.8,10,2,3,23.9,17.8,21.2,13,488
15,5.4,8,1,3,20.6,15.5,18.3,15,421
15,5.4,8,1,1,26.7,20.5,23.9,12,382
11,2.0,4,3,3,11.3,7.9,9.8,29,225
11,3.5,6,15,3,12.6,8.7,10.8,26,248
11,3.5,6,15,3,13.3,9.3,11.5,25,264
11,3.7,6,15,3,13.7,10.4,12.2,23,281
11,1.6,4,15,3,10.4,7.4,9.1,31,209
11,2.0,4,15,3,10.9,8.0,9.6,29,221
11,2.5,4,15,3,10.9,7.5,9.4,30,216
11,1.6,4,15,3,10.5,7.9,9.3,30,214
11,2.0,4,15,3,11.2,8.5,10.0,28,230
12,5.4,8,3,3,18.2,13.3,16.0,18,368
12,5.4,8,3,1,24.5,18.0,21.6,13,346
12,2.0,4,3,3,11.8,8.3,10.2,28,235
12,3.5,6,15,3,14.8,10.7,13.0,22,299
12,3.5,6,15,3,13.7,9.7,11.9,24,274
12,3.5,6,15,1,18.3,12.9,15.9,18,254
12,3.5,6,15,3,14.3,10.3,12.5,23,288
12,3.5,6,15,1,18.9,13.9,16.7,17,267
6,3.5,6,3,3,14.5,10.6,12.7,22,292
6,3.5,6,15,3,14.6,10.6,12.8,22,294
6,6.2,8,15,3,18.3,12.9,15.9,18,366
6,3.5,6,3,3,15.9,11.3,13.8,20,317
6,3.5,6,15,3,15.4,11.0,13.4,21,308
6,6.2,8,15,3,20.1,14.4,17.5,16,402
6,3.7,6,3,3,14.0,10.3,12.3,23,283
6,3.7,6,3,1,18.8,13.7,16.5,17,264
6,3.7,6,15,3,14.0,10.3,12.3,23,283
6,3.7,6,15,1,18.8,13.7,16.5,17,264
6,5.0,8,3,3,16.4,12.3,14.6,19,336
6,5.0,8,3,1,22.1,16.7,19.7,14,315
6,5.0,8,15,3,16.4,12.3,14.6,19,336
6,5.0,8,15,1,22.1,16.7,19.7,14,315
6,3.7,6,3,3,15.0,11.4,13.4,21,308
6,3.7,6,3,1,20.2,15.3,18.0,16,288
6,3.7,6,15,3,15.0,11.4,13.4,21,308
6,3.7,6,15,1,20.2,15.3,18.0,16,288
6,5.0,8,3,3,16.8,12.6,14.9,19,343
6,5.0,8,3,1,22.4,17.0,20.0,14,320
6,5.0,8,15,3,16.7,12.5,14.8,19,340
6,5.0,8,15,1,22.4,16.9,19.9,14,318
6,6.2,8,15,3,20.4,15.0,18.0,16,414
10,1.6,4,15,3,8.5,6.5,7.6,37,175
10,1.6,4,24,3,8.6,6.4,7.6,37,175
10,1.0,4,24,3,7.5,5.5,6.6,43,152
10,1.6,4,15,3,8.0,5.8,7.0,40,161
0,1.6,4,25,3,8.9,6.8,8.0,35,184
12,3.5,6,15,3,13.2,9.4,11.5,25,264
12,3.5,6,15,3,13.7,10.2,12.1,23,278
12,3.5,6,15,3,14.8,10.4,12.8,22,294
0,2.0,4,25,3,10.2,7.4,8.9,32,205
0,2.0,4,3,3,8.8,6.4,7.7,37,177
0,2.0,4,3,1,11.7,8.5,10.3,27,165
0,2.0,4,15,3,8.9,6.4,7.8,36,179
0,2.0,4,15,1,11.7,8.5,10.3,27,165
0,2.0,4,24,3,9.1,6.6,8.0,35,184
0,2.0,4,24,1,11.9,8.9,10.6,27,170
0,2.0,4,3,3,8.4,5.8,7.2,39,166
0,2.0,4,3,1,11.6,8.3,10.1,28,162
2,1.5,4,15,3,10.1,6.6,8.5,33,196
2,1.6,4,25,3,9.4,6.4,8.1,35,186
2,2.0,4,15,3,10.5,7.1,9.0,31,207
2,2.5,4,15,3,10.5,7.0,8.9,32,205
2,1.5,4,15,3,9.5,6.3,8.1,35,186
2,2.0,4,15,3,10.9,7.5,9.4,30,216
2,2.0,4,19,3,5.3,5.7,5.5,51,126
10,3.7,6,3,3,12.1,7.8,10.2,28,235
10,3.7,6,25,3,12.7,8.1,10.6,27,244
10,5.0,8,3,3,13.3,9.3,11.5,25,264
10,5.0,8,25,3,15.4,9.4,12.7,22,292
10,5.8,8,25,4,15.9,9.9,13.2,21,304
10,3.7,6,3,3,12.5,8.2,10.6,27,244
1,2.0,4,15,3,10.5,7.3,9.1,31,209
1,3.5,6,15,3,13.7,9.4,11.8,24,271
1,3.5,6,15,3,12.1,8.1,10.3,27,237
1,3.5,6,15,1,17.0,11.1,14.3,20,229
1,3.5,6,15,3,13.0,9.1,11.2,25,258
1,3.5,6,15,1,18.4,12.5,15.7,18,251
7,1.6,4,15,3,10.8,8.0,9.5,30,218
7,2.5,4,15,3,11.3,8.2,9.9,29,228
7,1.6,4,15,3,11.5,8.3,10.1,28,232
7,2.5,4,15,3,11.9,8.5,10.4,27,239
12,3.6,6,3,3,14.9,10.4,12.9,22,297
2,2.4,4,19,3,9.0,6.6,7.9,36,182
2,2.4,4,22,3,9.1,6.9,8.1,35,186
2,2.4,4,25,3,10.1,6.9,8.7,32,200
2,3.5,6,3,3,11.0,6.8,9.1,31,209
2,3.5,6,15,3,11.4,7.3,9.6,29,221
2,3.5,6,25,3,13.0,8.4,10.9,26,251
2,2.0,4,19,3,4.7,4.9,4.8,59,110
0,1.8,4,19,3,7.9,6.0,7.0,40,161
0,1.8,4,22,3,8.1,6.2,7.2,39,166
0,1.8,4,24,3,8.5,6.6,7.6,37,175
11,3.5,6,3,3,12.5,8.5,10.7,26,246
11,2.4,4,2,3,10.3,7.6,9.1,31,209
11,2.4,4,2,3,10.6,7.9,9.4,30,216
13,1.5,4,22,3,6.6,6.0,6.3,45,145
13,1.5,4,25,3,7.6,6.1,6.9,41,159
9,1.5,4,2,3,8.3,6.5,7.5,38,172
9,1.5,4,24,3,8.3,6.9,7.7,37,177
4,3.5,6,3,3,12.3,8.5,10.6,27,244
11,3.5,6,2,3,13.3,9.3,11.5,25,265
11,3.5,6,2,3,13.9,9.7,12.0,24,276
6,3.5,6,2,3,15.2,11.3,13.4,21,308
0,1.6,4,3,3,8.8,6.3,7.7,37,177
0,1.6,4,25,3,8.7,6.4,7.7,37,177
2,2.0,4,3,3,9.8,7.2,8.6,33,198
2,2.0,4,25,3,9.8,7.0,8.5,33,196
1,5.0,8,5,4,15.7,10.2,13.2,21,304
1,3.8,6,5,3,13.0,8.7,11.1,25,255
11,3.3,6,3,3,13.0,9.1,11.2,25,258
11,3.3,6,3,3,13.3,9.5,11.6,24,267
11,2.4,4,3,3,11.6,8.7,10.3,27,237
11,2.0,4,3,3,12.9,9.7,11.5,25,264
11,2.4,4,3,3,12.5,9.4,11.1,25,255
1,2.0,4,3,3,11.4,7.5,9.6,29,221
1,2.4,4,3,3,9.8,7.0,8.5,33,196
2,2.4,4,15,3,6.5,5.9,6.2,46,143
2,2.4,4,15,3,6.6,5.9,6.3,45,145
11,2.0,4,3,3,10.2,8.2,9.3,30,214
11,2.0,4,25,3,11.4,8.6,10.1,28,232
11,2.4,4,3,3,11.3,8.3,10.0,28,230
11,2.0,4,3,3,11.4,9.3,10.5,27,242
11,2.4,4,3,3,11.6,9.3,10.6,27,244
0,1.6,4,8,3,8.6,6.6,7.7,37,177
0,1.6,4,25,3,9.1,6.7,8.0,35,184
0,1.6,4,3,3,9.9,7.5,8.8,32,202
0,1.6,4,25,3,9.7,7.1,8.5,33,196
2,3.7,6,16,4,12.0,8.0,10.2,28,235
2,3.7,6,16,4,12.6,8.7,10.8,26,248
0,3.5,6,16,4,8.2,6.7,7.5,38,172
0,3.5,6,16,4,8.7,7.5,8.2,34,189
10,3.7,6,16,4,13.3,9.4,11.5,25,265
10,3.7,6,16,4,13.6,9.3,11.7,24,269
10,3.7,6,25,4,14.3,9.8,12.3,23,283
10,3.7,6,16,4,12.9,8.9,11.1,25,255
10,3.7,6,25,4,13.5,9.3,11.6,24,267
2,3.7,6,16,4,12.8,8.9,11.0,26,253
2,5.6,8,16,4,14.5,9.5,12.3,23,283
2,3.7,6,16,4,13.2,9.6,11.6,24,267
2,5.6,8,16,4,15.0,10.2,12.8,22,294
2,3.5,6,16,4,8.0,7.0,7.6,37,175
9,3.7,6,16,4,13.6,9.6,11.8,24,271
11,3.5,6,19,4,11.9,9.0,10.6,27,244
11,3.5,6,19,4,12.3,9.3,11.0,26,253
12,2.5,4,19,3,8.8,8.2,8.5,33,196
11,3.7,6,16,4,14.5,10.7,12.8,22,294
11,5.0,8,16,4,16.6,11.9,14.5,19,334
12,5.6,8,16,4,17.4,12.1,15.0,19,345
13,3.0,6,17,4,11.8,8.4,10.3,27,237
13,3.0,6,17,4,12.2,8.7,10.6,27,244
13,5.0,8,17,4,15.0,10.2,12.8,22,294
2,2.0,4,17,4,12.3,8.2,10.5,27,242
2,3.0,6,17,4,14.7,9.1,12.2,23,281
2,5.0,8,17,4,15.7,10.3,13.3,21,306
2,5.0,8,17,1,21.3,14.1,18.1,16,290
1,3.0,6,17,4,14.6,9.6,12.4,23,285
1,5.0,8,17,4,15.8,10.2,13.3,21,306
1,5.0,8,17,1,20.6,13.6,17.5,16,280
1,3.0,6,17,4,14.7,9.6,12.4,23,285
3,5.0,8,15,4,15.1,10.6,13.1,22,301
3,5.0,8,15,4,14.8,9.9,12.6,22,290
3,5.0,8,15,4,15.9,10.9,13.7,21,315
3,5.0,8,15,4,15.6,10.9,13.5,21,310
11,2.4,4,6,3,10.9,7.7,9.5,30,218
11,3.2,6,6,3,12.3,8.3,10.5,27,242
11,2.4,4,6,3,11.3,8.3,10.0,28,230
11,3.2,6,6,3,12.5,8.8,10.8,26,248
11,2.4,4,6,3,11.4,8.6,10.1,28,232
11,3.2,6,6,3,12.5,9.1,11.0,26,253
11,2.4,4,6,3,12.1,9.4,10.9,26,251
11,3.2,6,6,3,13.4,9.5,11.6,24,267
11,2.0,4,19,3,10.7,8.8,9.9,29,228
11,2.0,4,3,3,11.1,8.3,9.8,29,225
11,2.0,4,24,3,10.2,7.8,9.1,31,209
11,2.4,4,3,3,11.1,8.3,9.8,29,225
11,2.4,4,24,3,10.3,8.3,9.4,30,216
11,2.4,4,3,3,11.4,8.7,10.2,28,235
11,2.4,4,24,3,10.3,8.4,9.4,30,216
11,2.4,4,19,3,11.7,10.3,11.1,25,255
12,5.7,8,5,3,17.3,11.7,14.8,19,340
12,3.0,6,5,0,11.2,8.4,9.9,29,267
12,6.4,8,5,4,18.5,12.6,15.8,18,363
11,3.6,6,2,3,14.1,11.1,12.8,22,294
11,3.6,6,25,3,14.2,11.0,12.8,22,294
11,3.6,6,2,3,14.8,11.7,13.4,21,308
11,3.6,6,25,3,15.0,11.4,13.4,21,308
1,3.3,6,3,3,12.7,8.8,10.9,26,251
2,1.8,4,3,3,9.6,6.6,8.3,34,191
2,1.8,4,25,3,9.3,6.4,8.0,35,184
2,2.0,4,3,3,9.8,6.6,8.4,34,193
2,2.0,4,25,3,9.7,6.8,8.4,34,193
1,1.6,4,3,3,11.1,8.0,9.7,29,223
1,1.6,4,25,3,11.1,8.2,9.8,29,225
1,2.0,4,3,3,9.7,6.8,8.4,34,193
1,2.0,4,25,3,9.8,7.0,8.5,33,196
0,1.6,4,3,3,10.6,7.9,9.4,30,216
0,1.6,4,25,3,10.8,8.1,9.6,29,221
0,2.0,4,3,3,9.6,7.0,8.4,34,193
0,2.0,4,25,3,9.8,7.2,8.6,33,198
2,2.0,4,3,3,11.7,7.6,9.9,29,228
